,name,gender,Name Rank,age,surgency_score,agreeableness_score,conscientiousness_score,emotional_stability_score,intellect_score,Daily New Cases Day 4,Time Step,Response,Run Number
79,Erin,0,0.9189999999999999,49,0,0,0,1,0,0.0,0,0,1
80,Rosemary,0,0.5969999999999999,42,1,0,0,1,0,0.0,0,0,1
81,Kylie,0,0.44199999999999984,26,0,1,1,1,1,0.0,0,0,1
82,Stacie,0,0.2619999999999999,62,1,0,0,1,0,0.0,0,0,1
83,Lizzie,0,0.18999999999999984,61,0,0,0,1,0,0.0,0,0,1
84,Anil,1,0.35099999999999987,22,1,1,0,0,1,0.0,0,0,1
85,Mina,1,0.5449999999999999,36,1,1,0,0,0,0.0,0,0,1
86,Ezequiel,1,0.5009999999999999,52,1,0,1,0,0,0.0,0,0,1
87,Kendrick,1,0.04799999999999993,53,1,0,0,1,0,0.0,0,0,1
88,Sunil,1,0.31299999999999994,53,0,0,0,1,1,0.0,0,0,1
89,Amy,0,0.9789999999999999,48,0,0,1,1,0,0.0,0,0,1
90,Mary,0,0.9989999999999999,42,1,0,0,0,1,0.0,0,0,1
91,Alisa,0,0.2929999999999999,21,1,1,1,0,1,0.0,0,0,1
92,Hanna,0,0.44999999999999984,42,1,1,1,0,1,0.0,0,0,1
93,Vickie,0,0.5339999999999998,43,0,0,0,1,0,0.0,0,0,1
94,Lily,0,0.8039999999999998,33,1,0,0,1,0,0.0,0,0,1
95,Kimberly,0,0.9529999999999998,55,0,1,1,1,1,0.0,0,0,1
96,Josue,1,0.7789999999999999,30,1,0,0,0,0,0.0,0,0,1
97,Theresa,0,0.8299999999999998,24,1,1,1,0,0,0.0,0,0,1
98,Norberto,1,0.2749999999999999,32,0,1,0,0,1,0.0,0,0,1
99,Ellie,0,0.5409999999999999,38,1,0,1,0,0,0.0,0,0,1
100,Carmen,0,0.9779999999999999,52,0,1,1,1,0,0.0,0,0,1
101,Clara,0,0.692,62,0,1,1,0,0,0.0,0,0,1
102,Marlen,0,0.3569999999999999,32,0,0,1,1,1,0.0,0,0,1
103,Wes,1,0.5169999999999999,62,0,0,0,1,0,0.0,0,0,1
104,Cesar,1,0.9129999999999999,29,0,0,1,1,1,0.0,0,0,1
105,Hortencia,0,0.08799999999999986,63,1,0,1,1,0,0.0,0,0,1
106,Fernanda,0,0.5759999999999998,31,1,0,1,0,1,0.0,0,0,1
107,Lino,1,0.18499999999999994,26,0,1,0,1,1,0.0,0,0,1
108,Fransisco,1,0.027999999999999914,21,0,1,0,0,1,0.0,0,0,1
109,Pablo,1,0.8739999999999999,29,0,1,0,1,1,0.0,0,0,1
110,Eliana,0,0.17799999999999994,24,1,0,0,0,1,0.0,0,0,1
111,Latoya,0,0.44599999999999984,44,1,0,0,0,1,0.0,0,0,1
112,Patrice,1,0.4009999999999999,65,0,0,0,0,0,0.0,0,0,1
113,Charity,0,0.1269999999999999,21,1,0,1,1,0,0.0,0,0,1
114,Marshall,1,0.43399999999999994,39,1,0,0,0,1,0.0,0,0,1
115,Jodie,0,0.06999999999999984,42,1,1,1,0,1,0.0,0,0,1
116,Tyrone,1,0.6159999999999999,45,1,0,1,1,0,0.0,0,0,1
117,Debra,0,0.8359999999999999,35,0,0,0,1,0,0.0,0,0,1
118,Russ,1,0.46499999999999986,23,0,1,1,0,1,0.0,0,0,1
119,Rachel,0,0.9729999999999999,51,0,0,1,1,0,0.0,0,0,1
120,Liz,0,0.9169999999999999,52,1,0,0,0,1,0.0,0,0,1
121,Tucker,1,0.0119999999999999,25,0,1,0,0,0,0.0,0,0,1
122,Young,1,0.2679999999999999,30,1,0,0,1,0,0.0,0,0,1
123,Jai,1,0.04299999999999993,63,0,1,0,1,0,0.0,0,0,1
124,Leandro,1,0.2879999999999999,41,0,0,0,1,0,0.0,0,0,1
125,Noe,1,0.718,45,1,1,1,0,1,0.0,0,0,1
126,Carissa,0,0.051999999999999935,41,0,0,1,0,1,0.0,0,0,1
127,Ram,1,0.3579999999999999,63,1,1,1,1,1,0.0,0,0,1
128,Arun,1,0.2569999999999999,25,0,1,1,0,0,0.0,0,0,1
129,Caitlin,0,0.6799999999999999,36,0,0,1,1,0,0.0,0,0,1
130,Edy,1,0.16499999999999992,41,0,1,1,0,0,0.0,0,0,1
131,Christopher,1,0.9539999999999998,22,1,1,0,0,0,0.0,0,0,1
132,Belkis,0,0.041999999999999926,46,1,0,1,0,1,0.0,0,0,1
133,Julian,1,0.821,51,1,1,1,0,1,0.0,0,0,1
134,Tanisha,0,0.03599999999999992,57,1,1,0,0,0,0.0,0,0,1
135,Cj,1,0.6389999999999999,29,1,1,1,1,0,0.0,0,0,1
136,Daryl,1,0.46699999999999986,46,0,0,1,0,1,0.0,0,0,1
137,Lana,0,0.46799999999999986,41,1,0,1,1,1,0.0,0,0,1
138,Tamika,0,0.1509999999999999,45,1,1,1,0,0,0.0,0,0,1
139,Eunice,0,0.3999999999999999,45,0,0,1,0,0,0.0,0,0,1
140,Gene,1,0.6459999999999999,41,1,1,0,1,0,0.0,0,0,1
141,Guillermina,0,0.08499999999999985,28,0,0,0,1,1,0.0,0,0,1
142,Darian,1,0.016999999999999904,63,1,0,0,1,0,0.0,0,0,1
143,Leonardo,1,0.7529999999999999,19,0,1,0,1,0,0.0,0,0,1
144,Abby,0,0.7999999999999998,51,0,0,1,1,0,0.0,0,0,1
145,Cooper,1,0.11299999999999988,61,0,0,1,1,0,0.0,0,0,1
146,Devon,1,0.6599999999999999,65,0,1,1,0,0,0.0,0,0,1
147,Val,0,0.3589999999999999,47,1,1,0,0,1,0.0,0,0,1
148,Priyanka,0,0.11399999999999988,47,1,1,0,1,1,0.0,0,0,1
149,Aubrey,1,0.43999999999999984,29,0,0,1,0,1,0.0,0,0,1
150,Johanna,0,0.6339999999999999,64,0,0,1,0,0,0.0,0,0,1
151,Derrick,1,0.7479999999999999,36,1,0,0,0,0,0.0,0,0,1
152,Hugh,1,0.2869999999999999,54,1,0,1,1,1,0.0,0,0,1
153,Jacques,1,0.15799999999999992,25,1,0,0,0,0,0.0,0,0,1
154,Mirian,0,0.2759999999999999,59,1,1,1,1,1,0.0,0,0,1
155,Anibal,1,0.4019999999999999,27,1,0,1,0,1,0.0,0,0,1
156,Ami,0,0.007999999999999896,60,0,0,0,0,0,0.0,0,0,1
157,Gavin,1,0.585,43,0,1,0,0,0,0.0,0,0,1
158,Yanet,0,0.29799999999999993,36,1,0,0,0,1,0.0,0,0,1
159,Daisy,0,0.7609999999999999,45,0,0,1,0,0,0.0,0,0,1
160,Belen,0,0.18099999999999994,52,0,1,0,0,0,0.0,0,0,1
161,Candice,0,0.5169999999999999,32,0,0,1,0,0,0.0,0,0,1
162,Jhonny,1,0.18399999999999994,45,1,0,1,0,1,0.0,0,0,1
163,Bianca,0,0.7169999999999999,28,1,0,0,1,1,0.0,0,0,1
164,Serena,0,0.33899999999999986,48,0,1,1,1,0,0.0,0,0,1
165,Sonya,0,0.5289999999999999,43,0,1,0,0,0,0.0,0,0,1
166,Scotty,1,0.1499999999999999,31,1,1,0,1,1,0.0,0,0,1
167,César,1,0.061999999999999944,19,1,0,1,1,1,0.0,0,0,1
168,Janet,0,0.9239999999999999,26,1,1,1,1,0,0.0,0,0,1
169,Gus,1,0.43799999999999994,42,0,1,0,0,0,0.0,0,0,1
170,Humberto,1,0.7309999999999999,34,1,0,0,0,0,0.0,0,0,1
171,Vic,1,0.4069999999999999,38,1,1,1,0,0,0.0,0,0,1
172,Kevin,1,0.9869999999999999,28,0,1,0,1,0,0.0,0,0,1
173,Celso,1,0.18299999999999994,44,0,1,0,1,1,0.0,0,0,1
174,Praveen,1,0.05399999999999994,49,0,0,0,0,0,0.0,0,0,1
175,Traci,0,0.3899999999999999,44,1,1,1,0,1,0.0,0,0,1
176,Fermin,1,0.34399999999999986,42,0,1,0,1,0,0.0,0,0,1
177,Adrian,1,0.9009999999999999,59,1,1,1,1,1,0.0,0,0,1
178,Christy,0,0.7299999999999999,59,1,1,0,0,0,0.0,0,0,1
179,Brittney,0,0.6069999999999999,18,0,0,1,1,0,0.0,0,0,1
180,Mia,0,0.7599999999999999,51,1,1,1,1,0,0.0,0,0,1
181,Ever,1,0.46599999999999986,18,0,1,0,1,0,0.0,0,0,1
182,Pepe,1,0.6049999999999999,65,1,1,0,0,0,0.0,0,0,1
183,Amelia,0,0.6629999999999998,52,1,1,1,1,0,0.0,0,0,1
184,Dale,1,0.7249999999999999,18,1,0,0,1,1,0.0,0,0,1
185,Martinez,1,0.34499999999999986,54,1,1,0,0,0,0.0,0,0,1
186,Rick,1,0.8909999999999999,31,0,1,0,1,0,0.0,0,0,1
187,Ray,1,0.8609999999999999,43,1,0,1,0,1,0.0,0,0,1
188,Mariana,0,0.7859999999999999,48,0,1,0,0,1,0.0,0,0,1
189,Anastasia,0,0.3749999999999999,39,1,1,1,1,1,0.0,0,0,1
190,David,1,0.9989999999999999,52,0,0,1,0,1,0.0,0,0,1
191,Lucero,0,0.29699999999999993,55,1,0,1,0,1,0.0,0,0,1
192,Lorena,0,0.8619999999999999,25,1,0,1,0,0,0.0,0,0,1
193,Hailey,0,0.5949999999999999,59,1,0,0,0,1,0.0,0,0,1
194,Denny,1,0.2709999999999999,18,0,0,1,1,0,0.0,0,0,1
195,Kody,1,0.02499999999999991,45,1,0,1,1,1,0.0,0,0,1
196,Rochelle,0,0.3799999999999999,55,0,0,0,0,1,0.0,0,0,1
197,Jesus,1,0.9759999999999999,35,1,1,0,1,0,0.0,0,0,1
198,Conner,1,0.17399999999999993,37,0,0,0,1,0,0.0,0,0,1
199,Karen,0,0.9879999999999999,36,1,0,1,1,1,0.0,0,0,1
200,Greg,1,0.9069999999999999,26,1,1,0,1,1,0.0,0,0,1
201,Bob,1,0.9219999999999999,35,0,0,1,0,0,0.0,0,0,1
202,Brandon,1,0.9619999999999999,19,1,1,1,1,0,0.0,0,0,1
203,Chloe,0,0.6389999999999999,60,0,1,0,1,0,0.0,0,0,1
204,Tim,1,0.9409999999999998,28,0,0,1,1,1,0.0,0,0,1
205,Brooke,0,0.7889999999999999,59,1,0,0,1,1,0.0,0,0,1
206,Karthik,1,0.052999999999999936,33,1,1,0,0,0,0.0,0,0,1
207,Joni,1,0.2619999999999999,51,0,0,0,1,0,0.0,0,0,1
208,Wendy,0,0.9309999999999998,27,1,0,0,1,0,0.0,0,0,1
209,Hayden,1,0.45799999999999985,33,1,1,1,0,0,0.0,0,0,1
210,Jacob,1,0.9249999999999999,27,0,1,1,1,0,0.0,0,0,1
211,Genaro,1,0.46299999999999986,61,1,0,1,0,1,0.0,0,0,1
212,Lauren,0,0.9609999999999999,64,0,0,1,0,0,0.0,0,0,1
213,Mar,0,0.33199999999999985,61,1,0,0,1,0,0.0,0,0,1
214,Joey,1,0.8409999999999999,47,0,1,0,1,0,0.0,0,0,1
215,Troy,1,0.7679999999999999,52,1,1,1,1,0,0.0,0,0,1
216,Ingrid,0,0.6759999999999999,28,0,0,0,0,0,0.0,0,0,1
217,Damian,1,0.6679999999999999,47,1,1,1,1,1,0.0,0,0,1
218,Eden,0,0.10599999999999987,18,0,0,1,0,0,0.0,0,0,1
219,Geo,1,0.11099999999999988,53,1,1,1,1,1,0.0,0,0,1
220,Katherine,0,0.8569999999999999,52,0,0,1,0,0,0.0,0,0,1
221,Blake,1,0.7569999999999999,43,0,0,1,0,1,0.0,0,0,1
222,Dena,0,0.11899999999999988,33,1,1,1,0,0,0.0,0,0,1
223,Kari,0,0.5529999999999999,47,1,0,0,1,0,0.0,0,0,1
224,Dominick,1,0.2729999999999999,24,1,0,1,0,0,0.0,0,0,1
225,Aron,1,0.21899999999999986,57,0,1,0,1,1,0.0,0,0,1
226,Pearl,0,0.1409999999999999,49,0,1,1,1,0,0.0,0,0,1
227,Jared,1,0.8019999999999998,42,1,0,0,1,1,0.0,0,0,1
228,Nathaniel,1,0.6249999999999999,59,0,1,1,0,0,0.0,0,0,1
229,Corinne,0,0.15899999999999992,34,1,0,1,0,0,0.0,0,0,1
230,Aaliyah,0,0.17999999999999994,42,0,1,0,1,1,0.0,0,0,1
231,Luna,0,0.42999999999999994,28,0,1,1,1,1,0.0,0,0,1
232,Herbert,1,0.32899999999999985,39,1,0,0,0,1,0.0,0,0,1
233,Casey,1,0.7859999999999999,24,0,1,0,0,0,0.0,0,0,1
234,Garcia,1,0.3669999999999999,48,0,0,1,0,1,0.0,0,0,1
235,Suzy,0,0.23199999999999987,35,0,0,1,1,0,0.0,0,0,1
236,Saad,1,0.1269999999999999,57,1,1,0,1,0,0.0,0,0,1
237,Vivek,1,0.18699999999999994,43,0,1,0,1,1,0.0,0,0,1
238,Gil,1,0.4959999999999999,53,1,0,1,0,1,0.0,0,0,1
239,Tonya,0,0.6749999999999998,34,1,0,1,0,0,0.0,0,0,1
240,Arlene,0,0.5799999999999998,21,1,1,0,1,1,0.0,0,0,1
241,Elsie,0,0.09499999999999986,57,0,1,1,0,1,0.0,0,0,1
242,Lance,1,0.6539999999999999,19,1,1,1,1,1,0.0,0,0,1
243,Terrence,1,0.43299999999999994,19,1,1,1,0,1,0.0,0,0,1
244,Oralia,0,0.06499999999999984,32,1,1,0,1,1,0.0,0,0,1
245,Alana,0,0.33499999999999985,21,1,0,1,0,1,0.0,0,0,1
246,Valerie,0,0.8679999999999999,65,1,1,1,1,0,0.0,0,0,1
247,Lisa,0,0.9949999999999999,52,0,1,0,1,1,0.0,0,0,1
248,Jen,0,0.8069999999999999,59,0,1,1,0,1,0.0,0,0,1
249,Carter,1,0.4119999999999999,61,1,1,0,1,0,0.0,0,0,1
250,Pascual,1,0.2739999999999999,27,0,1,0,0,0,0.0,0,0,1
251,Jasmine,0,0.9009999999999999,43,0,0,1,0,1,0.0,0,0,1
252,Rubi,0,0.19399999999999984,59,1,1,1,0,0,0.0,0,0,1
253,Gigi,1,0.4909999999999999,53,1,1,1,0,0,0.0,0,0,1
254,Aman,1,0.23099999999999987,58,1,0,0,0,0,0.0,0,0,1
255,Hilary,0,0.2499999999999999,48,0,1,1,1,1,0.0,0,0,1
256,Leonor,0,0.3769999999999999,42,1,1,1,0,1,0.0,0,0,1
257,Esther,0,0.8449999999999999,32,1,1,0,1,1,0.0,0,0,1
258,Ramón,1,0.07199999999999984,24,0,1,1,0,0,0.0,0,0,1
259,Bobbie,0,0.3759999999999999,65,0,1,0,0,1,0.0,0,0,1
260,Shelia,0,0.04999999999999993,50,0,1,1,1,0,0.0,0,0,1
261,Myriam,0,0.19799999999999984,52,1,0,1,1,0,0.0,0,0,1
262,Ubaldo,1,0.0039999999999998925,23,0,1,0,1,1,0.0,0,0,1
263,Robyn,0,0.5299999999999999,45,1,0,0,0,0,0.0,0,0,1
264,Ruth,0,0.8829999999999999,24,1,0,0,0,1,0.0,0,0,1
265,Jc,1,0.5839999999999999,44,0,0,1,0,1,0.0,0,0,1
266,Isaias,1,0.5479999999999998,18,0,1,1,1,1,0.0,0,0,1
267,Sherry,0,0.7909999999999999,54,1,0,1,0,1,0.0,0,0,1
268,Heriberto,1,0.5029999999999999,29,0,0,1,0,1,0.0,0,0,1
269,Susy,0,0.33799999999999986,24,1,0,0,1,0,0.0,0,0,1
270,Ashish,1,0.21299999999999986,50,1,0,0,0,1,0.0,0,0,1
271,Tamara,0,0.7089999999999999,23,0,1,0,1,0,0.0,0,0,1
272,Alexandria,0,0.4009999999999999,60,0,0,0,0,1,0.0,0,0,1
273,Lovely,0,0.16399999999999992,54,0,1,1,1,1,0.0,0,0,1
274,Bella,0,0.6949999999999998,51,1,0,0,1,1,0.0,0,0,1
275,Britney,0,0.2729999999999999,19,1,0,0,1,1,0.0,0,0,1
276,German,1,0.6859999999999999,43,1,1,1,0,1,0.0,0,0,1
277,Willy,1,0.5269999999999999,48,1,0,0,1,1,0.0,0,0,1
278,Jairo,1,0.6119999999999999,64,0,1,1,0,1,0.0,0,0,1
279,Jackson,1,0.6319999999999999,21,1,0,0,1,1,0.0,0,0,1
280,Gaurav,1,0.06899999999999984,29,0,1,1,0,1,0.0,0,0,1
281,Aaron,1,0.9369999999999998,21,0,1,0,1,1,0.0,0,0,1
282,Chelsea,0,0.7989999999999999,22,0,0,0,0,0,0.0,0,0,1
283,El,1,0.6789999999999998,28,0,1,0,1,1,0.0,0,0,1
284,Heidi,0,0.7829999999999999,29,1,0,1,0,0,0.0,0,0,1
285,Stefan,1,0.3899999999999999,29,1,0,0,1,1,0.0,0,0,1
286,Gina,0,0.8839999999999999,25,0,1,0,1,1,0.0,0,0,1
287,Minerva,0,0.4179999999999999,37,0,1,0,1,1,0.0,0,0,1
288,Yasmin,0,0.5069999999999999,18,1,0,0,1,1,0.0,0,0,1
289,Kaitlyn,0,0.6369999999999999,60,0,0,0,1,1,0.0,0,0,1
290,Lindsey,0,0.7719999999999999,59,1,1,1,0,1,0.0,0,0,1
291,Osman,1,0.32299999999999984,54,1,1,1,1,0,0.0,0,0,1
292,Wally,1,0.10499999999999987,41,0,0,1,0,0,0.0,0,0,1
293,Vicente,1,0.696,37,1,0,0,0,1,0.0,0,0,1
294,Angelina,0,0.6519999999999999,21,1,1,1,0,1,0.0,0,0,1
295,Jordyn,0,0.02299999999999991,26,1,1,1,0,0,0.0,0,0,1
296,Morgan,1,0.7999999999999998,48,0,0,0,0,1,0.0,0,0,1
297,Vernon,1,0.30699999999999994,51,1,1,1,0,0,0.0,0,0,1
298,Braden,1,0.06999999999999984,39,0,1,0,1,0,0.0,0,0,1
299,Lexie,0,0.039999999999999925,60,0,1,1,1,0,0.0,0,0,1
300,Tay,1,0.2489999999999999,42,1,1,0,1,1,0.0,0,0,1
301,Ashton,1,0.4109999999999999,44,1,1,0,0,1,0.0,0,0,1
302,Juliana,0,0.6149999999999999,22,1,1,1,0,1,0.0,0,0,1
303,Joel,1,0.9119999999999999,54,0,1,1,1,0,0.0,0,0,1
304,Sarah,0,0.9939999999999999,58,1,1,1,0,0,0.0,0,0,1
305,Berta,0,0.15999999999999992,56,1,0,1,0,1,0.0,0,0,1
306,Violeta,0,0.2509999999999999,36,1,1,1,0,0,0.0,0,0,1
307,Chanel,0,0.1379999999999999,22,0,0,1,1,0,0.0,0,0,1
308,Juanito,1,0.24099999999999988,65,1,1,0,1,0,0.0,0,0,1
309,Glenn,1,0.692,27,1,1,1,0,1,0.0,0,0,1
310,Chad,1,0.8239999999999998,60,1,1,1,0,0,0.0,0,0,1
311,Mariel,0,0.03699999999999992,42,0,0,1,1,1,0.0,0,0,1
312,Holly,0,0.8029999999999999,58,0,1,0,1,1,0.0,0,0,1
313,Ron,1,0.8589999999999999,46,1,1,1,0,1,0.0,0,0,1
314,Mayra,0,0.8689999999999999,35,0,0,1,0,1,0.0,0,0,1
315,Carson,1,0.3799999999999999,28,0,1,1,0,1,0.0,0,0,1
316,Candy,0,0.5779999999999998,36,0,1,1,1,1,0.0,0,0,1
317,Kristopher,1,0.07099999999999984,58,1,0,0,0,1,0.0,0,0,1
318,Eddy,1,0.6629999999999998,36,1,1,1,1,1,0.0,0,0,1
319,Faith,0,0.6379999999999999,31,1,0,1,0,1,0.0,0,0,1
320,Brett,1,0.7669999999999999,29,1,1,0,1,0,0.0,0,0,1
321,Ronald,1,0.8299999999999998,22,1,0,1,1,0,0.0,0,0,1
322,Mya,0,0.17099999999999993,27,0,1,1,0,1,0.0,0,0,1
323,Staci,0,0.038999999999999924,19,0,0,0,1,1,0.0,0,0,1
324,Carina,0,0.2909999999999999,38,1,0,1,0,0,0.0,0,0,1
325,Carla,0,0.8379999999999999,31,0,1,1,0,0,0.0,0,0,1
326,Cecil,1,0.1359999999999999,36,0,1,0,1,0,0.0,0,0,1
327,Gladis,0,0.23499999999999988,53,1,0,1,0,1,0.0,0,0,1
328,America,0,0.2489999999999999,57,0,0,0,0,1,0.0,0,0,1
329,Louis,1,0.7469999999999999,22,0,0,0,1,0,0.0,0,0,1
330,Cathy,0,0.8579999999999999,19,1,1,0,0,1,0.0,0,0,1
331,Wanda,0,0.7269999999999999,41,1,1,1,0,0,0.0,0,0,1
332,Jim,1,0.9439999999999998,40,0,0,1,1,0,0.0,0,0,1
333,Emilia,0,0.3709999999999999,62,1,1,1,0,1,0.0,0,0,1
334,Liza,0,0.42399999999999993,29,1,0,0,0,1,0.0,0,0,1
335,Lissette,0,0.17599999999999993,31,1,0,0,1,1,0.0,0,0,1
336,Sally,0,0.7509999999999999,24,1,0,0,0,1,0.0,0,0,1
337,Marco,1,0.8669999999999999,65,1,0,0,1,1,0.0,0,0,1
338,Yan,1,0.09099999999999986,24,0,1,1,1,0,0.0,0,0,1
339,Ely,0,0.31199999999999994,60,0,0,1,0,0,0.0,0,0,1
340,Clarissa,0,0.35199999999999987,43,1,1,1,1,1,0.0,0,0,1
341,Judith,0,0.7979999999999998,37,0,0,1,1,1,0.0,0,0,1
342,Warren,1,0.583,37,1,1,0,1,0,0.0,0,0,1
343,Raquel,0,0.8139999999999998,39,1,0,1,1,1,0.0,0,0,1
344,April,0,0.8489999999999999,32,1,0,0,0,1,0.0,0,0,1
345,Bernadette,0,0.3789999999999999,58,0,1,0,0,1,0.0,0,0,1
346,Renato,1,0.22699999999999987,37,0,0,1,1,1,0.0,0,0,1
347,Junior,1,0.817,40,1,1,0,0,0,0.0,0,0,1
348,Igor,1,0.3859999999999999,18,0,0,0,0,0,0.0,0,0,1
349,Tracey,0,0.6469999999999999,51,1,1,0,0,1,0.0,0,0,1
